step,episode,avg_reward
2048,34,-101.76547358930111
4096,48,-99.11875826439687
6144,53,-32.798736321926114
8192,58,-34.01854757517576
10240,62,5.0428023329004645
12288,66,2.9369131345301867
14336,70,4.2739118644967675
16384,75,4.024503768235445
18432,79,2.3610660722479224
20480,83,3.5267917569726706
22528,87,2.900200231000781
24576,91,3.4656278528273106
26624,95,3.748562354594469
28672,99,3.594395705498755
30720,103,3.7025512531399727
32768,107,28.662561434321105
34816,111,79.88236564118415
36864,116,25.024660486727953
38912,120,5.428661049343646
40960,124,105.6492929738015
43008,129,-53.839856047183275
45056,133,6.092899154871702
47104,137,5.625088383443654
49152,142,65.68608504459262
51200,146,7.284448315389454
53248,150,107.61950162332505
55296,154,57.88939483463764
57344,159,26.190298429876567
59392,163,8.578482360579073
61440,167,9.208336991257966
63488,171,58.68220731988549
65536,175,9.270490868017077
67584,179,35.095821065828204
69632,184,49.25954547673464
71680,188,10.085064479149878
73728,192,10.074745587073267
75776,197,7.77714806124568
77824,201,-17.774618726223707
79872,205,-43.00286078825593
81920,209,7.130595561116934
83968,213,-44.89670890569687
86016,217,-20.480066185817122
88064,221,4.879620268009603
90112,226,-76.07339019849897
92160,230,-20.182677243836224
94208,234,5.373593117110431
96256,238,5.104932737536728
98304,242,5.169356048107147
100352,246,5.215676517225802
102400,250,5.3617900758981705
104448,254,5.237729959189892
106496,258,4.626592299900949
108544,263,5.212051245570183
110592,267,4.961592577397823
112640,271,4.685300840996206
114688,275,4.296173528768122
116736,279,4.002742487005889
118784,283,4.163862889632583
120832,287,4.012537372298539
122880,291,4.521728725172579
124928,295,4.838723849505186
126976,299,5.026463335379958
129024,304,5.608051425218582
131072,308,5.358981588855386
133120,312,6.281228804960847
135168,316,30.551712164655328
137216,320,5.1416160678491
139264,324,-20.17851739563048
141312,328,4.902168626897037
143360,332,4.87817026861012
145408,336,3.8448549984022975
147456,340,4.373246174305677
149504,344,3.670283996500075
151552,349,4.330974090844393
153600,353,6.013630136847496
155648,357,7.241564499214292
157696,361,8.283155475743115
159744,365,6.806401691399515
161792,369,29.682278599590063
163840,373,32.33931497950107
165888,377,30.978863666765392
167936,381,-40.41549428086728
169984,386,9.041643293201924
172032,390,56.97913385089487
174080,394,-15.296077008359134
176128,398,59.34180828835815
178176,402,-15.24356703646481
180224,406,31.947999853640795
182272,410,32.80987704824656
184320,414,6.503214857541025
186368,418,78.50182735733688
188416,423,-12.448726976662874
190464,427,-14.002431554719806
192512,432,8.031624119728804
194560,436,8.730091606266797
196608,441,48.12034197226167
198656,445,109.99048256967217
200704,449,112.2814621552825
